iteration,changed_pixels,class_code,class_name,predicted_pixels,markov_demand_pixels,difference_pixels
1,68950,1,Cropland,10704607,10428821,275786
1,68950,2,Forest,456756,504624,-47868
1,68950,3,Shrub,101,169,-68
1,68950,4,Grassland,108139,120547,-12408
1,68950,5,Water,261390,281586,-20196
1,68950,6,Snow/Ice,0,0,0
1,68950,7,Barren,7005,9376,-2371
1,68950,8,Impervious,2761731,2954606,-192875
1,68950,9,Wetland,0,0,0
2,68947,1,Cropland,10635660,10428821,206839
2,68947,2,Forest,468723,504624,-35901
2,68947,3,Shrub,118,169,-51
2,68947,4,Grassland,111241,120547,-9306
2,68947,5,Water,266439,281586,-15147
2,68947,6,Snow/Ice,0,0,0
2,68947,7,Barren,7598,9376,-1778
2,68947,8,Impervious,2809950,2954606,-144656
2,68947,9,Wetland,0,0,0
3,68947,1,Cropland,10566713,10428821,137892
3,68947,2,Forest,480690,504624,-23934
3,68947,3,Shrub,135,169,-34
3,68947,4,Grassland,114343,120547,-6204
3,68947,5,Water,271488,281586,-10098
3,68947,6,Snow/Ice,0,0,0
3,68947,7,Barren,8191,9376,-1185
3,68947,8,Impervious,2858169,2954606,-96437
3,68947,9,Wetland,0,0,0
4,68947,1,Cropland,10497766,10428821,68945
4,68947,2,Forest,492657,504624,-11967
4,68947,3,Shrub,152,169,-17
4,68947,4,Grassland,117445,120547,-3102
4,68947,5,Water,276537,281586,-5049
4,68947,6,Snow/Ice,0,0,0
4,68947,7,Barren,8784,9376,-592
4,68947,8,Impervious,2906388,2954606,-48218
4,68947,9,Wetland,0,0,0
5,68945,1,Cropland,10428821,10428821,0
5,68945,2,Forest,504624,504624,0
5,68945,3,Shrub,169,169,0
5,68945,4,Grassland,120547,120547,0
5,68945,5,Water,281586,281586,0
5,68945,6,Snow/Ice,0,0,0
5,68945,7,Barren,9376,9376,0
5,68945,8,Impervious,2954606,2954606,0
5,68945,9,Wetland,0,0,0
