target_class_code,target_class_name,feature,coefficient
1,Cropland,from_cropland,0.01114608
1,Cropland,from_forest,0.98353213
1,Cropland,from_shrub,0.00000000
1,Cropland,from_grassland,0.06162433
1,Cropland,from_water,0.28495330
1,Cropland,from_snow_ice,0.00000000
1,Cropland,from_barren,-0.00002023
1,Cropland,from_impervious,-1.40122652
1,Cropland,from_wetland,0.00000000
1,Cropland,elevation_norm,-0.26431379
1,Cropland,low_slope,0.02921531
1,Cropland,nightlight,0.49539039
1,Cropland,road_closeness,0.19635162
1,Cropland,water_closeness,-0.49887267
1,Cropland,same_class_neighborhood,0.40408418
2,Forest,from_cropland,0.55747759
2,Forest,from_forest,1.86514437
2,Forest,from_shrub,0.00000000
2,Forest,from_grassland,-0.40275052
2,Forest,from_water,-0.98669809
2,Forest,from_snow_ice,0.00000000
2,Forest,from_barren,-0.94124132
2,Forest,from_impervious,-0.98175621
2,Forest,from_wetland,0.00000000
2,Forest,elevation_norm,1.38401794
2,Forest,low_slope,-0.33069122
2,Forest,nightlight,1.37036228
2,Forest,road_closeness,-0.03747820
2,Forest,water_closeness,-0.20528229
2,Forest,same_class_neighborhood,0.11529701
4,Grassland,from_cropland,1.07274103
4,Grassland,from_forest,-0.59635484
4,Grassland,from_shrub,0.00000000
4,Grassland,from_grassland,0.94155562
4,Grassland,from_water,-0.78459513
4,Grassland,from_snow_ice,0.00000000
4,Grassland,from_barren,0.03507962
4,Grassland,from_impervious,-0.71276802
4,Grassland,from_wetland,0.00000000
4,Grassland,elevation_norm,0.46261013
4,Grassland,low_slope,0.03392328
4,Grassland,nightlight,-4.92852163
4,Grassland,road_closeness,-0.31595138
4,Grassland,water_closeness,0.47043124
4,Grassland,same_class_neighborhood,0.37786862
5,Water,from_cropland,-0.42716452
5,Water,from_forest,-1.11906159
5,Water,from_shrub,0.00000000
5,Water,from_grassland,-0.87028611
5,Water,from_water,1.00625050
5,Water,from_snow_ice,0.00000000
5,Water,from_barren,0.04098413
5,Water,from_impervious,1.21183014
5,Water,from_wetland,0.00000000
5,Water,elevation_norm,-0.46371379
5,Water,low_slope,0.24446642
5,Water,nightlight,1.03532684
5,Water,road_closeness,0.02778897
5,Water,water_closeness,0.13499044
5,Water,same_class_neighborhood,0.28021064
7,Barren,from_cropland,-1.26842749
7,Barren,from_forest,-0.56229556
7,Barren,from_shrub,0.00000000
7,Barren,from_grassland,0.83314395
7,Barren,from_water,1.09420037
7,Barren,from_snow_ice,0.00000000
7,Barren,from_barren,0.88653708
7,Barren,from_impervious,0.23381089
7,Barren,from_wetland,0.00000000
7,Barren,elevation_norm,-0.43349937
7,Barren,low_slope,-0.23326606
7,Barren,nightlight,0.39688355
7,Barren,road_closeness,-0.58838630
7,Barren,water_closeness,0.67680895
7,Barren,same_class_neighborhood,-0.84603441
8,Impervious,from_cropland,0.05422572
8,Impervious,from_forest,-0.57096779
8,Impervious,from_shrub,0.00000000
8,Impervious,from_grassland,-0.56332082
8,Impervious,from_water,-0.61412358
8,Impervious,from_snow_ice,0.00000000
8,Impervious,from_barren,-0.02135367
8,Impervious,from_impervious,1.65011036
8,Impervious,from_wetland,0.00000000
8,Impervious,elevation_norm,-0.68510836
8,Impervious,low_slope,0.25636286
8,Impervious,nightlight,1.63056242
8,Impervious,road_closeness,0.71768045
8,Impervious,water_closeness,-0.57807916
8,Impervious,same_class_neighborhood,-0.33142471
