rank,feature,importance
1,current_is_1_Cropland,0.24258429
2,current_is_8_Impervious,0.20567031
3,neighbor_frac_1_Cropland,0.14278780
4,neighbor_frac_8_Impervious,0.10800124
5,driver_nightlight_2020,0.04637581
6,driver_water_closeness_2020,0.04299689
7,driver_road_closeness_2020,0.03910336
8,driver_elevation_norm_2020,0.03820159
9,current_is_2_Forest,0.03481657
10,neighbor_frac_2_Forest,0.03282045
11,current_is_5_Water,0.02086746
12,neighbor_frac_5_Water,0.01850120
13,driver_low_slope_2020,0.01478142
14,neighbor_frac_4_Grassland,0.00710401
15,current_is_4_Grassland,0.00449524
16,neighbor_frac_7_Barren,0.00071502
17,current_is_7_Barren,0.00017734
18,current_is_3_Shrub,0.00000000
19,current_is_6_Snow/Ice,0.00000000
20,current_is_9_Wetland,0.00000000
21,neighbor_frac_3_Shrub,0.00000000
22,neighbor_frac_6_Snow/Ice,0.00000000
23,neighbor_frac_9_Wetland,0.00000000
