iteration,changed_pixels,class_code,class_name,predicted_pixels,markov_demand_pixels,difference_pixels
1,26549,1,Cropland,11128358,11046290,82068
1,26549,2,Forest,383782,394428,-10646
1,26549,3,Shrub,0,0,0
1,26549,4,Grassland,79991,98976,-18985
1,26549,5,Water,218414,194294,24120
1,26549,6,Snow/Ice,0,0,0
1,26549,7,Barren,3225,3223,2
1,26549,8,Impervious,2485959,2562518,-76559
1,26549,9,Wetland,0,0,0
2,26549,1,Cropland,11111617,11046290,65327
2,26549,2,Forest,386444,394428,-7984
2,26549,3,Shrub,0,0,0
2,26549,4,Grassland,84738,98976,-14238
2,26549,5,Water,208608,194294,14314
2,26549,6,Snow/Ice,0,0,0
2,26549,7,Barren,3223,3223,0
2,26549,8,Impervious,2505099,2562518,-57419
2,26549,9,Wetland,0,0,0
3,26548,1,Cropland,11093208,11046290,46918
3,26548,2,Forest,389106,394428,-5322
3,26548,3,Shrub,0,0,0
3,26548,4,Grassland,89484,98976,-9492
3,26548,5,Water,200469,194294,6175
3,26548,6,Snow/Ice,0,0,0
3,26548,7,Barren,3223,3223,0
3,26548,8,Impervious,2524239,2562518,-38279
3,26548,9,Wetland,0,0,0
4,26547,1,Cropland,11072225,11046290,25935
4,26547,2,Forest,391767,394428,-2661
4,26547,3,Shrub,0,0,0
4,26547,4,Grassland,94230,98976,-4746
4,26547,5,Water,194905,194294,611
4,26547,6,Snow/Ice,0,0,0
4,26547,7,Barren,3223,3223,0
4,26547,8,Impervious,2543379,2562518,-19139
4,26547,9,Wetland,0,0,0
5,26546,1,Cropland,11046290,11046290,0
5,26546,2,Forest,394428,394428,0
5,26546,3,Shrub,0,0,0
5,26546,4,Grassland,98976,98976,0
5,26546,5,Water,194294,194294,0
5,26546,6,Snow/Ice,0,0,0
5,26546,7,Barren,3223,3223,0
5,26546,8,Impervious,2562518,2562518,0
5,26546,9,Wetland,0,0,0
